Thu-01.01.70-02:00:03;Thu-01.01.70-02:00:04;Thu-01.01.70-02:00:05;Thu-01.01.70-02:00:06;Thu-01.01.70-02:00:07;Thu-01.01.70-02:00:08;Thu-01.01.70-02:00:09;Thu-01.01.70-02:00:10;Thu-01.01.70-02:00:11;Thu-01.01.70-02:00:12;Thu-01.01.70-02:00:13;Thu-01.01.70-02:00:14;Thu-01.01.70-02:00:15;Thu-01.01.70-02:00:16;Thu-01.01.70-02:00:17;Thu-01.01.70-02:00:18;Thu-01.01.70-02:00:19;Thu-01.01.70-02:00:20;Thu-01.01.70-02:00:21;Thu-01.01.70-02:00:22;Thu-01.01.70-02:00:23;Thu-01.01.70-02:00:24;Thu-01.01.70-02:00:25;Thu-01.01.70-02:00:26;Thu-01.01.70-02:00:27;Thu-01.01.70-02:00:28;Thu-01.01.70-02:00:29;Thu-01.01.70-02:00:30;Thu-01.01.70-02:00:31;Thu-01.01.70-02:00:32;Thu-01.01.70-02:00:33;Thu-01.01.70-02:00:34;Thu-01.01.70-02:00:35;Thu-01.01.70-02:00:36;Thu-01.01.70-02:00:37;Thu-01.01.70-02:00:38;Thu-01.01.70-02:00:39;Thu-01.01.70-02:00:40;Thu-01.01.70-02:00:41;Thu-01.01.70-02:00:42;Thu-01.01.70-02:00:43;Thu-01.01.70-02:00:44;Thu-01.01.70-02:00:45;Thu-01.01.70-02:00:46;Thu-01.01.70-02:00:47;Thu-01.01.70-02:00:48;Thu-01.01.70-02:00:49;Thu-01.01.70-02:00:50;Thu-01.01.70-02:00:51;Thu-01.01.70-02:00:52;Thu-01.01.70-02:00:53;Thu-01.01.70-02:00:54;Thu-01.01.70-02:00:55;Thu-01.01.70-02:00:56;Thu-01.01.70-02:00:57;Thu-01.01.70-02:00:58;Thu-01.01.70-02:00:59;Thu-01.01.70-02:01:00;Thu-01.01.70-02:01:01;Thu-01.01.70-02:01:02
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
